Church Name,City,State,Size,Denomination
First Wesleyan Church,Battle Creek,MI,2600,Wesleyan
Grace Christian Church,Sterling Heights,MI,2000,CHRISTIAN
Ada Bible Church,Ada,MI,7636,"Independent, Nondenominational"
Apostolic Church of Auburn Hills,Auburn Hills,MI,3000,United Pentecostal Church International
Blythefield Hills Baptist Church,Rockford,MI,2020,Baptist (unspecified)
Brightmoor Christian Church,Novi,MI,2000,Assemblies of God
Calvary Bible Church,Kalamazoo,MI,2000,"Independent, Nondenominational"
Calvary Church,Grand Rapids,MI,4500,"Independent, Nondenominational"
Central Wesleyan Church,Holland,MI,3000,Wesleyan
Christ Memorial Reformed Church,Holland,MI,2800,Reformed Church in America
Cornerstone Evangelical Presbyterian,Brighton,MI,1800,Evangelical Presbyterian Church
Cornerstone United Methodist Church,Caledonia,MI,2000,Unknown (unspecified)
Detroit World Outreach Center,Redford,MI,2000,"Independent, Nondenominational"
Church of the Open Door,Maple Grove,MN,3500,Christian & Missionary Alliance
Eagle Brook Church,Centerville,MN,17091,Baptist General Conference
Saint Philip the Deacon Lutheran Church,Plymouth,MN,2000,Evangelical Lutheran Church in America
Shepherd of the Lake Lutheran Church,Prior Lake,MN,2000,Evangelical Lutheran Church in America
Shepherd of the Valley Lutheran Church,Apple Valley,MN,2200,Lutheran (unspecified)
Substance Church,Roseville,MN,3000,"Independent, Nondenominational"
Mount Olivet Lutheran Church,Minneapolis,MN,5895,Evangelical Lutheran Church in America
New Hope Church Evangelical Free Church,New Hope,MN,3757,Evangelical Free
North Heights Lutheran Church,Roseville,MN,2300,Evangelical Lutheran Church in America
Prince of Peace Lutheran Church,Burnsville,MN,3000,Evangelical Lutheran Church in America
River Valley Church,Apple Valley,MN,5000,Assemblies of God
Saint Andrew Lutheran Church,Eden Prairie,MN,2300,Lutheran (unspecified)
Saint Andrew’s Lutheran Church,Mahtomedi,MN,2100,Evangelical Lutheran Church in America
Hosanna!,Lakeville,MN,6600,Lutheran (unspecified)
Living Word Christian Center,Brooklyn Park,MN,9000,Unknown (unspecified)
Berean Baptist Church,Burnsville,MN,2100,Baptist General Conference
Bethlehem Baptist Church,Minneapolis,MN,4600,Baptist General Conference
Calvary Baptist Church,Roseville,MN,1800,Baptist General Conference
Calvary Lutheran Church,Golden Valley,MN,2300,Lutheran (unspecified)
Cedar Valley Church,Bloomington,MN,2000,Assemblies of God
Westwood Community Church,Excelsior,MN,3800,Baptist General Conference
Woodbury Lutheran Church,Woodbury,MN,2100,Lutheran (unspecified)
Wooddale Church,Eden Prairie,MN,5500,Baptist General Conference
Woodland Hills Church,St. Paul,MN,5000,Baptist General Conference
Crossroads Church,Woodbury,MN,2200,"Independent, Nondenominational"
North Heights Lutheran Church,Arden Hills,MN,2200,Lutheran (unspecified)
Emmanuel Christian Center,Minneapolis,MN,3500,Assemblies of God
Evergreen Community Church,Bloomington,MN,2300,Unknown (unspecified)
Grace Church,Eden Prairie,MN,5500,"Independent, Nondenominational"
Faith Church of St. Louis,Fenton,MO,4000,"Independent, Nondenominational"
First Baptist Church,Arnold,MO,2385,Southern Baptist Convention
First Baptist Raytown,Raytown,MO,2000,Southern Baptist Convention
Forerunner Christian Fellowship,Kansas City,MO,2000,"Independent, Nondenominational"
Friendly Temple Missionary Baptist Church,Saint Louis,MO,3500,Baptist (unspecified)
Grace Church,Maryland Heights,MO,3800,"Independent, Nondenominational"
North Point Church,Springfield,MO,4500,Assemblies of God
Pleasant Valley Baptist Church,Liberty,MO,2905,Southern Baptist Convention
Ridgecrest Baptist Church,Springfield,MO,1900,Southern Baptist Convention
Saint John Lutheran Church,Ellisville,MO,2300,Lutheran (unspecified)
Central Assembly of God Church,Springfield,MO,2468,Assemblies of God
Christ Church of Oronogo,Oronogo,MO,2506,CHRISTIAN
Church on the Rock,Saint Peters,MO,4900,"Independent, Nondenominational"
College Heights Christian Church,Joplin,MO,1971,CHRISTIAN
Colonial Presbyterian Church,Kansas City,MO,2200,Presbyterian Church of America
Saint Louis Family Church,Chesterfield,MO,6000,"Independent, Nondenominational"
Second Baptist Church,Springfield,MO,2543,Southern Baptist Convention
Sheffield Family Life Center,Kansas City,MO,5135,Assemblies of God
The Crossing,Columbia,MO,3400,"Independent, Nondenominational"
The Crossing,Chesterfield,MO,6000,"Independent, Nondenominational"
The Journey Fellowship,Saint Louis,MO,3300,"Independent, Nondenominational"
Twin Rivers Worship Center,Saint Louis,MO,2500,Unknown (unspecified)
Vineyard Christian Fellowship,Kansas City,MO,2000,Vineyard
Woodcrest Chapel,Columbia,MO,2200,Unknown (unspecified)
Word of Life Church,Saint Joseph,MO,4000,"Independent, Nondenominational"
First Baptist Church,Arnold,MO,2385,Southern Baptist Convention
Element Church,Wentzville,MO,2500,"Independent, Nondenominational"
LifeChurch,St Louis,MO,2000,"Independent, Nondenominational"
Harvester Christian Church,Saint Charles,MO,3286,CHRISTIAN
James River Assembly,Ozark,MO,8246,Assemblies of God
La Croix United Methodist Church,Cape Girardeau,MO,1943,United Methodist Church
Lees Summit Community Church,Lee's Summit,MO,2001,Unknown (unspecified)
Life Center,Saint Louis,MO,2500,"Independent, Nondenominational"
Morning Star Church,O'Fallon,MO,1945,United Methodist Church
Abundant Life Baptist Church,Lee's Summit,MO,2000,"Independent, Nondenominational"
Calvary Church,Saint Peters,MO,3500,Evangelical Free
Cape First,Cape Girardeau,MO,2800,Assemblies of God
Broadmoor Baptist Church,Madison,MS,2000,Southern Baptist Convention
Brown Missionary Baptist Church,Southaven,MS,3257,Baptist (unspecified)
Christ United Methodist Church,Jackson,MS,1800,United Methodist Church
Colonial Hills Baptist Church,Southaven,MS,2000,Southern Baptist Convention
Crossgates Baptist Church,Brandon,MS,2286,Southern Baptist Convention
First Baptist Church,Brandon,MS,1900,Southern Baptist Convention
First Baptist Church,Jackson,MS,2500,Southern Baptist Convention
Pinelake Church,Brandon,MS,9091,Southern Baptist Convention
Harrisburg Baptist Church,Tupelo,MS,2000,Baptist (unspecified)
Temple Baptist Church,Hattiesburg,MS,3000,Southern Baptist Convention
The Orchard,Tupelo,MS,2300,United Methodist Church
Woodlawn Church,Columbia,MS,2500,United Pentecostal Church
Faith Chapel,Billings,MT,4500,Four Square
Harvest Church,Billings,MT,2500,Evangelical
Kalispell Christian Center,Kalispell,MT,2500,Assemblies of God
Grace Covenant Church,Cornelius,NC,2600,Four Square
Hickory Grove Baptist Church,Charlotte,NC,4539,Southern Baptist Convention
Hope Community Church,Raleigh,NC,7854,Southern Baptist Convention
Northwood Temple Church,Fayetteville,NC,2000,International Pentecostal Holiness Church
Lake Forest Church,Huntersville,NC,2000,Evangelical Presbyterian Church
Manna Church,Fayetteville,NC,7300,Unknown (unspecified)
Mecklenburg Community Church,Charlotte,NC,2000,Unknown (unspecified)
Mid Way Baptist Church,Raleigh,NC,2600,"Independent, Nondenominational"
Victory Christian Center,Charlotte,NC,3500,"Independent, Nondenominational"
Village Baptist Church,Fayetteville,NC,1800,Southern Baptist Convention
Westover Church,Greensboro,NC,4000,"Independent, Nondenominational"
World Overcomers Church,Durham,NC,15000,"Independent, Nondenominational"
Crosspointe Church of Cary,Cary,NC,2046,CHRISTIAN
Bay Leaf Baptist Church,Raleigh,NC,1400,Southern Baptist Convention
Bethlehem Church,Gastonia,NC,2700,Southern Baptist Convention
Biltmore Baptist Church,Arden,NC,6021,Southern Baptist Convention
C3 Church,Clayton,NC,3852,"Independent, Nondenominational"
Calvary Baptist Church,Winston Salem,NC,5000,Southern Baptist Convention
Calvary Chapel,Apex,NC,2000,Calvary Churches
Calvary Church,Charlotte,NC,2348,"Independent, Nondenominational"
Carmel Baptist Church,Matthews,NC,2647,Southern Baptist Convention
Central Church of God,Charlotte,NC,6000,"Church of God, Cleveland"
Christ Covenant Church,Matthews,NC,1800,Presbyterian Church of America
Christ United Methodist Church,Hickory,NC,2162,United Methodist Church
Christian Faith Center,Creedmoor,NC,5000,"Independent, Nondenominational"
Church at Charlotte,Charlotte,NC,2000,Evangelical Free
Colonial Baptist Church,Cary,NC,3800,Baptist (unspecified)
Concord First Assembly,Concord,NC,3000,Assemblies of God
Covenant Love Church,Fayetteville,NC,2000,"Independent, Nondenominational"
Covenant United Methodist Church,Winterville,NC,1825,United Methodist Church
Crossroads Fellowship Church,Raleigh,NC,3500,"Independent, Nondenominational"
Destiny Christian Center,Greensboro,NC,2100,"Independent, Nondenominational"
Elevation Baptist Church,Raleigh,NC,2000,Baptist (unspecified)
Elevation Church,Matthews,NC,26000,"Independent, Nondenominational"
Evangel Fellowship,Greensboro,NC,2000,Church of God in Christ
First Assembly of God,Winston-Salem,NC,3300,Assemblies of God
First Baptist Church,Indian Trail,NC,2537,Southern Baptist Convention
First Baptist of Jacksonville,Jacksonville,NC,2200,Baptist (unspecified)
Forest Hill Church,Charlotte,NC,3000,Evangelical Presbyterian Church
Friendship Missionary Baptist Church,Charlotte,NC,2700,Baptist (unspecified)
Gospel Light Baptist Church,Walkertown,NC,2000,Baptist (unspecified)
Mount Zion Baptist Church,Greensboro,NC,2800,Baptist (unspecified)
Mud Creek Baptist Church,Hendersonville,NC,2590,Southern Baptist Convention
New Birth-Charlotte,Cornelius,NC,6500,"Independent, Nondenominational"
Newhope church,Durham,NC,2572,"Independent, Nondenominational"
Northside Baptist Church,Charlotte,NC,2000,Baptist (unspecified)
Port City Community Church,Wilmington,NC,5200,Unknown (unspecified)
Providence Baptist Church,Raleigh,NC,2500,Southern Baptist Convention
Saint Mark’s Church,Burlington,NC,2000,Unknown (unspecified)
Saint Paul Baptist Church,Charlotte,NC,4500,National Baptist Convention
Snyder Memorial Baptist Church,Fayetteville,NC,2000,Southern Baptist Convention
Southbrook Church,Weddington,NC,2000,"Independent, Nondenominational"
St. Peter’s Church and World Outreach Center,Winston-Salem,NC,4000,"Independent, Nondenominational"
Steele Creek Community Church,Charlotte,NC,2500,"Independent, Nondenominational"
The Cove Church,Mooresville,NC,4200,Unknown (unspecified)
The Park Church,Charlotte,NC,6000,Baptist (unspecified)
The Summit Church,Kernersville,NC,2700,Baptist General Conference
The Summit Church,Durham,NC,6639,Southern Baptist Convention
University Park Baptist Church,Charlotte,NC,10000,Baptist (unspecified)
Bethel Church,Fargo,ND,2500,Evangelical Free
Hope Lutheran Church,Fargo,ND,2500,Evangelical Lutheran Church in America
King of Kings Lutheran Church,Omaha,NE,2400,Lutheran (unspecified)
Lincoln Berean Church,Lincoln,NE,5000,"Independent, Nondenominational"
Bellevue Christian Center,Bellevue,NE,2500,CHRISTIAN
Lifegate Church,Omaha,NE,1800,"Independent, Nondenominational"
Westside Church,Omaha,NE,2000,Southern Baptist Convention
Christ Community Church,Omaha,NE,4200,Christian & Missionary Alliance
College View Seventh Day Adventist Churc,Lincoln,NE,2200,Seventh-day Adventist
Manchester Christian Church,Manchester,NH,2100,CHRISTIAN
Bethany at Chester Road,Raymond,NH,2000,"Independent, Nondenominational"
Abundant Life Family Worship Church,New Brunswick,NJ,2200,"Independent, Nondenominational"
Agape Family Worship Center,Rahway,NJ,2500,"Independent, Nondenominational"
Bethany Baptist Church,Lindenwold,NJ,6000,"Independent, Nondenominational"
Bethany Church,Wayne,NJ,2500,Korean Presbyterian Church
Pilgrim Church,Paramus,NJ,2500,Korean Presbyterian Church
Calvary Baptist Church,Morristown,NJ,1800,Baptist (unspecified)
Calvary Chapel of Old Bridge,Old Bridge,NJ,4500,Calvary Churches
Cathedral International,Perth Amboy,NJ,3000,Baptist (unspecified)
Hawthorne Gospel Church,Hawthorne,NJ,2200,"Independent, Nondenominational"
Jacksonville Chapel,Lincoln Park,NJ,2000,"Independent, Nondenominational"
Kingdom Church,Ewing,NJ,2500,Unknown (unspecified)
Metropolitan Baptist Church,Newark,NJ,2500,Baptist (unspecified)
Saint Matthew’s Baptist Church,Williamstown,NJ,9000,Unknown (unspecified)
The Presbyterian Church of Toms River,Toms River,NJ,2500,PRES
Chodae Community Church,Norwood,NJ,2500,Korean Presbyterian Church
Christ Church,Rockaway,NJ,5000,"Independent, Nondenominational"
Liquid Church,Morristown,NJ,2000,"Independent, Nondenominational"
Epic Church International,Sayreville,NJ,10100,"Independent, Nondenominational"
Princeton Alliance Church,Plainsboro,NJ,1800,Christian & Missionary Alliance
Rutgers Community Christian Church,Somerset,NJ,2200,"Independent, Nondenominational"
Evangel Church,Scotch Plains,NJ,2117,Assemblies of God
Faith Fellowship Ministries World Outreach Center,Sayreville,NJ,10100,"Independent, Nondenominational"
Faith Living Christian Center,Pennsauken,NJ,2300,"Independent, Nondenominational"
Fellowship Alliance Chapel,Medford,NJ,2500,Christian & Missionary Alliance
First Baptist Church of Lincoln Gardens,Somerset,NJ,6000,Baptist (unspecified)
Gloucester County Community Church,Sewell,NJ,2500,"Independent, Nondenominational"
Faith Christian Family Church,Clovis,NM,2000,"Independent, Nondenominational"
Calvary Baptist Church,Las Cruces,NM,1800,Southern Baptist Convention
Calvary Chapel of Albuquerque,Albuquerque,NM,16830,Calvary Churches
Casa del Rey,Alburquerque,NM,3100,Assemblies of God
Legacy Church,Albuquerque,NM,10100,"Independent, Nondenominational"
Pinon Hills Community Church,Farmington,NM,2000,"Independent, Nondenominational"
Sagebrush Community Church,Albuquerque,NM,9000,"Independent, Nondenominational"
CopperPointe Church,Albuquerque,NM,2000,"Independent, Nondenominational"
Destiny Center Church,Rio Rancho,NM,1800,"Independent, Nondenominational"
Hoffmantown Church,Albuquerque,NM,1800,Southern Baptist Convention
Victory Missionary Baptist Church,Las Vegas,NV,2000,Unknown (unspecified)
Canyon Ridge Christian Church,Las Vegas,NV,6500,CHRISTIAN
Apex Church,Las Vegas,NV,3500,"Independent, Nondenominational"
Calvary Chapel Spring Valley,Las Vegas,NV,3000,Calvary Churches
Shadow Hills Church,Las Vegas,NV,2547,Southern Baptist Convention
Summit Christian Church,Sparks,NV,2467,CHRISTIAN
The Church at South Las Vegas,Henderson,NV,3200,"Independent, Nondenominational"
The Crossing A Christian Church,Las Vegas,NV,2577,CHRISTIAN
Grace Church,Reno,NV,2500,"Independent, Nondenominational"
Grace Community Church,Reno,NV,2800,"Independent, Nondenominational"
Central Christian Church,Henderson,NV,21055,CHRISTIAN
International Church of Las Vegas,Las Vegas,NV,5000,Assemblies of God
LifePoint Church,Minden,NV,2000,"Independent, Nondenominational"
Living Stones Church,Reno,NV,2297,"Independent, Nondenominational"
Grace Fellowship Church,Latham,NY,3400,"Independent, Nondenominational"
Greater Centennial A.M.E. Zion Church,Mount Vernon,NY,2100,African Methodist Episcopal
Highland Church,Jamaica,NY,3000,"Independent, Nondenominational"
Iglesia Pentecostal Macedonia,New York,NY,4550,Pentecostal (unspecified)
International Christian Center,Staten Island,NY,2450,Assemblies of God
Love Fellowship Tabernacle,Brooklyn,NY,2000,"Independent, Nondenominational"
Saint Paul Community Baptist,Brooklyn,NY,2000,"Independent, Nondenominational"
Smithtown Gospel Tabernacle,Smithtown,NY,2700,"Independent, Nondenominational"
The Chapel,Getzville,NY,4800,"Independent, Nondenominational"
The Father’s House,Rochester,NY,3500,Unknown (unspecified)
The Korean Presbyterian Church of Queens,Flushing,NY,3000,Korean Presbyterian Church
The Riverside Church,New York,NY,2500,"Independent, Nondenominational"
The Wesleyan Church of Hamburg,Hamburg,NY,1900,Wesleyan
Thessalonia Baptist Church,Bronx,NY,2000,Baptist (unspecified)
Times Square Church,New York,NY,8000,Unknown (unspecified)
Upper Room Christian World Center,Dix Hills,NY,2200,"Independent, Nondenominational"
Zion Dominion Global Ministries,Amherst,NY,2000,Church of God in Christ
Grace Community Church,Washingtonville,NY,2293,Baptist General Conference
Metro International Church,Brooklyn,NY,2400,"Independent, Nondenominational"
Abundant Life Christian Center,East Syracuse,NY,2000,Pentecostal (unspecified)
Abyssinian Baptist Church,Harlem,NY,4000,National Baptist Convention
El Centro Cristiano Adonai,Corona,NY,1900,Unknown (unspecified)
Allen AME Church,Jamaica,NY,6150,African Methodist Episcopal
Bethany Baptist Church,Brooklyn,NY,1800,Southern Baptist Convention
Bethel Gospel Tabernacle,Jamaica,NY,2000,"Independent, Nondenominational"
Bridge Street AME,Brooklyn,NY,2500,African Methodist Episcopal
Brooklyn Tabernacle,Brooklyn,NY,10000,"Independent, Nondenominational"
Calvary Baptist Church,New York,NY,2000,Baptist (unspecified)
Canaan Baptist Church of Christ,New York,NY,3000,Baptist (unspecified)
Christ Tabernacle,Glendale,NY,4000,"Independent, Nondenominational"
Christian Cultural Center,Brooklyn,NY,13000,"Independent, Nondenominational"
Christian Faith Fellowship Family Church,Middletown,NY,2500,"Independent, Nondenominational"
Concord Baptist Church of Christ,Brooklyn,NY,2500,Baptist (unspecified)
Eastern Hills Wesleyan Church,Williamsville,NY,2500,Wesleyan
Elim International Fellowship,Brooklyn,NY,2200,Unknown (unspecified)
Emmanuel Baptist Church,Brooklyn,NY,2200,American Baptist
Promise New York Church,Flushing,NY,3800,Assemblies of God
Full Gospel Tabernacle Church,Orchard Park,NY,2200,CHRISTIAN
Northway Fellowship Church,Clifton Park,NY,2000,"Independent, Nondenominational"
Perfecting Faith Church,Freeport,NY,2000,Unknown (unspecified)
Redeemer Presbyterian Church,New York City,NY,5200,Presbyterian Church of America
Mount Zion Baptist Church of Oakwood Village,Oakwood Village,OH,3000,Baptist (unspecified)
New Life Church,Gahanna,OH,1800,"Independent, Nondenominational"
New Salem Baptist Church,Columbus,OH,2000,Baptist (unspecified)
NewPointe Community Church,Dover,OH,3200,METH
Olivet Institutional Baptist Church,Cleveland,OH,2000,Unknown (unspecified)
Only Believe Ministries Christian Center,Botkins,OH,2000,"Independent, Nondenominational"
Parkside Church,Chagrin Falls,OH,4000,"Independent, Nondenominational"
Reynoldsburg United Methodist Church,Reynoldsburg,OH,2200,United Methodist Church
RiverTree Christian Church,Massillon,OH,2600,CHRISTIAN
Victory Christian Center,Lowellville,OH,2500,Assemblies of God
Vineyard Christian Fellowship,Beavercreek,OH,3000,Vineyard
Vineyard Church of Columbus,Westerville,OH,7827,Vineyard
Vineyard Community Church,Cincinnati,OH,5829,Vineyard
The Chapel,Sandusky,OH,2200,"Independent, Nondenominational"
World Harvest Church,Canal Winchester,OH,5000,"Independent, Nondenominational"
Xenos Christian Fellowship,Columbus,OH,5000,"Independent, Nondenominational"
Rock City Church,Columbus,OH,2648,"Independent, Nondenominational"
Grove City Church of the Nazarene,Grove City,OH,3446,Church of the Nazarene
Heritage Christian Church,Westerville,OH,2700,CHRISTIAN
Jersey Baptist Church,Pataskala,OH,1900,Southern Baptist Convention
Lima Community Church,Lima,OH,1888,Church of the Nazarene
Lincoln Heights Missionary Baptist Church,Cincinnati,OH,3200,Baptist (unspecified)
Man’s Authentic Nature,Loveland,OH,4000,Vineyard
Montgomery Community Church,Cincinnati,OH,2500,American Baptist
Shiloh Baptist Church,Dayton,OH,2500,Baptist (unspecified)
Solid Rock Church,Monroe,OH,4000,"Independent, Nondenominational"
SouthBrook Christian Church,Miamisburg,OH,3100,CHRISTIAN
The Chapel,Akron,OH,7347,"Independent, Nondenominational"
The House of the Lord,Akron,OH,3000,"Independent, Nondenominational"
The Word Church,Cleveland,OH,7000,Unknown (unspecified)
Upper Arlington Lutheran Church,Columbus,OH,2200,Lutheran (unspecified)
Fairfield Christian Church,Lancaster,OH,2000,"Independent, Nondenominational"
Fairhaven Church,Centerville,OH,3500,Christian & Missionary Alliance
Faith Family Church,Canton,OH,3000,"Independent, Nondenominational"
Far Hills Community Church,Dayton,OH,2000,Southern Baptist Convention
First Christian Church,Springfield,OH,2074,CHRISTIAN
First Church of God,Columbus,OH,4000,"Church of God, Cleveland"
Ginghamsburg United Methodist Church,Tipp City,OH,4600,United Methodist Church
Grace Brethren Church of Columbus,Westerville,OH,2500,Brethren
Grace Church,Middleburg Heights,OH,1800,Christian & Missionary Alliance
Grace Church,Norton,OH,4000,Unknown (unspecified)
Akron Baptist Temple,Akron,OH,3000,"Independent, Nondenominational"
Apex Community Church,Kettering,OH,2500,Southern Baptist Convention
Canton Baptist Temple,Canton,OH,1800,Baptist (unspecified)
CedarCreek.tv,Perrysburg,OH,9155,"Independent, Nondenominational"
Christ Community Chapel,Hudson,OH,4500,"Independent, Nondenominational"
Christ Emmanuel Christian Fellowship,Cincinnati,OH,2000,"Independent, Nondenominational"
Christian Life Center,Dayton,OH,2700,Assemblies of God
Christ’s Church At Mason,Mason,OH,2519,CHRISTIAN
Church of the Open Door,Elyria,OH,2500,"Independent, Nondenominational"
Cleveland Baptist Church,Cleveland,OH,2010,Southern Baptist Convention
Columbus Christian Center Church,Columbus,OH,2500,"Independent, Nondenominational"
Cornerstone Church,Toledo,OH,4000,"Independent, Nondenominational"
Crossroads Community Church,Mansfield,OH,5500,"Independent, Nondenominational"
Crossroads Church,Cincinnati,OH,35253,"Independent, Nondenominational"
Cuyahoga Valley Community Church,Broadview Heights,OH,2000,Unknown (unspecified)
Cypress Wesleyan Church,Galloway,OH,3200,Wesleyan
Church at Battle Creek,Broken Arrow,OK,2092,Southern Baptist Convention
Church of the Harvest,Oklahoma City,OK,2500,"Independent, Nondenominational"
Church of the Servant,Oklahoma City,OK,1992,United Methodist Church
Church on the Move,Tulsa,OK,7000,"Independent, Nondenominational"
Council Road Baptist Church,Bethany,OK,2300,Southern Baptist Convention
Crossings Community Church,Oklahoma City,OK,5500,"Independent, Nondenominational"
Crossroads Cathedral,Oklahoma City,OK,2500,Assemblies of God
Destiny Church,Broken Arrow,OK,1800,"Independent, Nondenominational"
Guts Church,Tulsa,OK,4000,"Independent, Nondenominational"
Henderson Hills Baptist Church,Edmond,OK,2500,Southern Baptist Convention
Journey Church,Norman,OK,3300,Evangelical Covenant
Life.Church,Edmond,OK,85000,Evangelical Covenant
Memorial Road Church of Christ,Edmond,OK,2600,Church of Christ
People’s Church,Oklahoma City,OK,6000,Assemblies of God
Rhema Bible Church,Tulsa,OK,5500,Unknown (unspecified)
Victory Christian Center,Tulsa,OK,9500,Unknown (unspecified)
Victory Church,Oklahoma City,OK,8000,"Independent, Nondenominational"
Victory Life Family Worship Center,Durant,OK,4000,Unknown (unspecified)
Westmoore Community Church,Oklahoma City,OK,2000,Evangelical Covenant
Broken Arrow Baptist Church,Tulsa,OK,2092,Southern Baptist Convention
Grace Church,Broken Arrow,OK,1800,"Independent, Nondenominational"
Asbury United Methodist Church,Tulsa,OK,3274,United Methodist Church
Bethany First Church of the Nazarene,Bethany,OK,2361,Church of the Nazarene
Boston Avenue United Methodist Church,Tulsa,OK,2004,United Methodist Church
Cathedral of Praise,Oklahoma City,OK,1800,Pentecostal (unspecified)
Southwest Baptist Church,Oklahoma City,OK,2500,Baptist (unspecified)
Edmond’s First Baptist Church,Edmond,OK,2000,Southern Baptist Convention
Faith Tabernacle,Oklahoma City,OK,2000,Assemblies of God
First Baptist Church Altus,Altus,OK,2000,Southern Baptist Convention
First Baptist Church,Oklahoma City,OK,2000,Southern Baptist Convention
First Baptist Church,Broken Arrow,OK,2100,Southern Baptist Convention
North Park Community Church,London,ON,2200,"Independent, Nondenominational"
Richmond Hill Chinese Community Church,Richmond Hill,ON,2800,Evangelical
The Meeting House,Oakville,ON,5007,BIC
The Peoples Church,Toronto,ON,3800,"Independent, Nondenominational"
Metropolitan Bible Church,Ottawa,ON,2500,"Independent, Nondenominational"
Prayer Palace Church,Toronto,ON,2500,"Independent, Nondenominational"
Agincourt Pentecostal Church,Toronto,ON,2200,Pentecostal Assemblies of Canada
Bramalea Baptist Church,Bramalea,ON,1800,Evangelical
Abundant Life Church,Damascus,OR,2426,CHRISTIAN
Applegate Christian Fellowship,Jacksonville,OR,7000,Calvary Churches
Beaverton Foursquare Church,Beaverton,OR,5600,Four Square
Cedar Mill Bible Church,Portland,OR,1900,"Independent, Nondenominational"
First Baptist Church Eugene,Eugene,OR,3000,CBA
Good Shepherd Community Church,Boring,OR,2300,"Independent, Nondenominational"
City Bible Church,Portland,OR,3500,"Independent, Nondenominational"
East Hill Foursquare Church,Gresham,OR,2800,Four Square
Imago Dei Community,Portland,OR,2000,Unknown (unspecified)
Morning Star Community Church,Salem,OR,2500,"Independent, Nondenominational"
Westside Church,Bend,OR,3500,Four Square
Portland Christian Center,Portland,OR,2000,Assemblies of God
Rolling Hills Community Church,Tualatin,OR,2900,"Independent, Nondenominational"
Salem Alliance Church,Salem,OR,2600,Christian & Missionary Alliance
Salem First Church of the Nazarene,Salem,OR,2000,Church of the Nazarene
Solid Rock Church,Portland,OR,6000,"Independent, Nondenominational"
Southlake Foursquare Church,West Linn,OR,2500,Four Square
Sunset Presbyterian Church,Portland,OR,2300,Presbyterian Church of America
Table Rock Fellowship,Central Point,OR,2000,"Independent, Nondenominational"
Sharon Baptist Church,Philadelphia,PA,5000,Southern Baptist Convention
The Bible Chapel,McMurray,PA,2500,Unknown (unspecified)
The Greater White Rock Baptist Church,Philadelphia,PA,3000,Baptist (unspecified)
The Worship Center,Lancaster,PA,2150,Unknown (unspecified)
Christ Community Church,Camp Hill,PA,2000,"Independent, Nondenominational"
Christian Life Assembly,Camp Hill,PA,2900,Assemblies of God
Christian Life Center,Bensalem,PA,1900,Assemblies of God
Christian Stronghold Baptist Church,Philadelphia,PA,2500,Baptist (unspecified)
Church of the Saviour,Wayne,PA,2000,Unknown (unspecified)
Covenant Church of Pittsburgh,Pittsburgh,PA,2000,"Independent, Nondenominational"
Deliverance Evangelistic Church,Philadelphia,PA,4000,Evangelical
Dove Christian Fellowship Church,Ephrata,PA,2000,Unknown (unspecified)
Allegheny Center Alliance Church,Pittsburgh,PA,2700,Christian & Missionary Alliance
Bright Hope Baptist Church,Philadelphia,PA,2000,Baptist (unspecified)
Calvary Chapel of Philadelphia,Philadelphia,PA,12000,Calvary Churches
Calvary Church,Souderton,PA,2100,"Independent, Nondenominational"
Calvary Church,Lancaster,PA,2500,"Independent, Nondenominational"
Calvary Fellowship Church,Downingtown,PA,2000,"Independent, Nondenominational"
Enon Tabernacle Baptist Church,Philadelphia,PA,4150,Baptist (unspecified)
Evangelical Free Church of Hershey,Hummelstown,PA,2000,Evangelical Free
Glad Tidings Church,Reading,PA,2689,Assemblies of God
North Way Christian Community,Wexford,PA,3000,Unknown (unspecified)
Parker Hill Community Church,Scranton,PA,1950,"Independent, Nondenominational"
Pocono Community Church,Mount Pocono,PA,2000,Assemblies of God
Greater Shiloh Church,Easton,PA,2300,Baptist (unspecified)
King Street Church,Chambersburg,PA,2000,Unknown (unspecified)
LCBC Church,Manheim,PA,19000,"Independent, Nondenominational"
Lifechurch,Allentown,PA,2000,"Independent, Nondenominational"
Living Word Community Church,York,PA,2500,"Independent, Nondenominational"
Mount Ararat Baptist Church,Pittsburgh,PA,4800,Baptist (unspecified)
Victory Family Church,Cranberry Twp,PA,2000,Unknown (unspecified)
West Shore Evangelical Free Church,Mechanicsburg,PA,2500,Evangelical Free
Worship Center,Lancaster,PA,2500,"Independent, Nondenominational"
Pocono Community Church,Tobyhanna,PA,1855,Assemblies of God
Eglise Nouvelle Vie,Longueuil,PQ,3600,"Independent, Nondenominational"
Faith Assembly of God,Summerville,SC,2305,Assemblies of God
First Baptist Church Simpsonville,Simpsonville,SC,2081,Southern Baptist Convention
First Baptist Church,Spartanburg,SC,3200,Southern Baptist Convention
First Baptist Church,Columbia,SC,3500,Southern Baptist Convention
First Baptist North Spartanburg,Spartanburg,SC,2600,Southern Baptist Convention
Freedom Temple Ministries,Rockhill,SC,2200,"Independent, Nondenominational"
Grace Cathedral Ministries,Greenville,SC,2000,Unknown (unspecified)
Grace Church,Greenville,SC,4000,"Independent, Nondenominational"
Barefoot Church,North Myrtle Beach,SC,2000,Unknown (unspecified)
Bible Way Church of Atlas Road,Columbia,SC,7000,"Independent, Nondenominational"
Brookland Baptist Church,West Columbia,SC,8075,Baptist (unspecified)
